  x         Q2   F2D     err_sys  err_stat
0.0078    0.80  0.2667   0.0027   0.0074
0.0092    1.09  0.2901   0.0062   0.0073

0.0120    0.90  0.2694   0.0054   0.0078
0.0125    1.22  0.2946   0.0029   0.0068
0.0139    1.62  0.3102   0.0074   0.0069

0.0173    1.27  0.2978   0.0040   0.0068
0.0176    1.72  0.3304   0.0041   0.0063
0.0185    2.16  0.3238   0.0084   0.0062

0.0246    1.27  0.2967   0.0049   0.0072
0.0247    1.75  0.3205   0.0035   0.0054
0.0254    2.36  0.3409   0.0034   0.0049
0.0276    3.24  0.3324   0.0133   0.0068

0.0348    1.30  0.3057   0.0077   0.0082
0.0348    1.76  0.3155   0.0049   0.0053
0.0349    2.45  0.3405   0.0036   0.0039
0.0354    3.34  0.3624   0.0066   0.0051
0.0364    4.27  0.3541   0.0205   0.0089

0.0495    1.33  0.3233   0.0089   0.0103
0.0493    1.76  0.3189   0.0050   0.0063
0.0494    2.48  0.3375   0.0033   0.0041
0.0501    3.41  0.3574   0.0042   0.0036
0.0509    4.39  0.3589   0.0082   0.0050
0.0526    5.31  0.3957   0.0198   0.0069

0.0700    1.35  0.3154   0.0132   0.0136
0.0699    1.77  0.3229   0.0073   0.0088
0.0694    2.48  0.3348   0.0044   0.0051
0.0696    3.45  0.3608   0.0050   0.0039
0.0702    4.42  0.3579   0.0070   0.0039
0.0703    5.38  0.3654   0.0122   0.0043
0.0711    6.38  0.3641   0.0253   0.0049

0.0902    1.38  0.3267   0.0195   0.0176
0.0899    1.76  0.3222   0.0096   0.0116
0.0897    2.47  0.3358   0.0057   0.0065
0.0897    3.46  0.3416   0.0056   0.0043
0.0900    4.44  0.3577   0.0075   0.0040
0.0903    5.44  0.3801   0.0117   0.0046
0.0897    6.50  0.3527   0.0173   0.0045

0.1090    1.78  0.3220   0.0117   0.0141
0.1096    2.49  0.3346   0.0069   0.0083
0.1098    3.48  0.3353   0.0065   0.0054
0.1100    4.45  0.3360   0.0077   0.0042
0.1105    5.44  0.3314   0.0105   0.0042
0.1096    6.60  0.3379   0.0144   0.0043

0.1282    1.86  0.3479   0.0198   0.0168
0.1383    2.49  0.3298   0.0060   0.0105
0.1396    3.48  0.3328   0.0057   0.0064
0.1394    4.45  0.3272   0.0062   0.0047
0.1398    5.46  0.3411   0.0085   0.0043
0.1407    6.69  0.3363   0.0097   0.0042

0.1737    2.67  0.3277   0.0091   0.0103
0.1803    3.46  0.3069   0.0066   0.0071
0.1799    4.46  0.3197   0.0076   0.0054
0.1806    5.46  0.3088   0.0088   0.0045
0.1801    6.77  0.3203   0.0097   0.0039
0.1769    8.50  0.3092   0.0232   0.0037

0.2048    2.90  0.2970   0.0263   0.0081
0.2203    3.51  0.2924   0.0070   0.0065
0.2255    4.47  0.2820   0.0070   0.0050
0.2259    5.47  0.2937   0.0090   0.0043
0.2273    6.81  0.2789   0.0086   0.0034
0.2211    8.64  0.2874   0.0182   0.0032

0.2643    3.75  0.2690   0.0118   0.0062
0.2723    4.47  0.2672   0.0079   0.0052
0.2746    5.44  0.2562   0.0091   0.0039
0.2792    6.84  0.2512   0.0090   0.0030
0.2729    8.70  0.2550   0.0167   0.0028

0.3145    4.61  0.2286   0.0088   0.0100
0.3373    5.46  0.2267   0.0071   0.0077
0.3485    6.87  0.2195   0.0068   0.0047
0.3432    8.73  0.2074   0.0108   0.0028

0.3931    5.72  0.1680   0.0147   0.0177
0.4379    6.96  0.1603   0.0061   0.0132
0.4603    8.74  0.1310   0.0070   0.0074
